Headline,News,sentiment
The Best Risk Reward Plays In Oil.html,"Oil prices have been ticking upwards after OPEC+ reached an agreement on Sunday that will see the group start adding 400,000 bpd production each month from August. Goldman Sachs says the agreement is modestly bullish and has forecast that Brent will hit $80 per barrel this summer. Piper Sandler says that whereas the backdrop of tighter monetary policy, the trajectory of the economic recovery, and the sustainability of inflation are likely to create some volatility curveballs, they will not be enough to derail the secular bull market. Meanwhile, the fossil fuel sector is enjoying a rare blowout season: Over the past few earnings seasons, the majority of companies in the energy sector have comfortably beat Wall Street's expectations With impressive bottom-line growth, many top energy names are returning more capital to shareholders in the form of dividends and share buybacks. Companies usually repurchase shares when they believe they are undervalued, a big endorsement for oil and gas bulls. The biggest gainers in the current environment are integrated oil companies such as ExxonMobil (NYSE:XOM) and Chevron (NYSE:CVX), which own assets that run the whole gamut of the oil business, including drilling (upstream) and processing (downstream). However, the latest oil price downturn has reminded us that these companies also tend to be highly volatile because their business model is heavily reliant on commodity prices. To build a well-balanced and diversified portfolio, you need to invest in the midstream sector that carries less commodity price risk. Midstream oil companies provide the pipelines, processing, storage, and transportation, and processing assets that help move oil and gas commodities from the point of production to their eventual consumption points. Many midstream companies are fee-based, meaning their businesses depend more on commodity demand and are less affected by commodity price swings because demand tends to be more stable while prices tend to be more volatile. Another big draw: Midstream energy companies are some of the highest dividend payers, with many sporting yields above 6%. That said, midstream energy companies are not without risk. Just like the rest of the oil and gas sector, the U.S. midstream oil and gas segment was disrupted by the plunge in global energy demand spawned by the coronavirus pandemic. Many saw their market values cut in half, with huge pullbacks in production as well as a ramping down of capacity by refineries, liquefaction facilities, and exporters, as well as rampant project cancellations all taking a heavy toll. Nevertheless, last year was an outlier, and we are not likely to see anything that dramatic in the near future. Here are our top picks in the midstream oil sector. Enbridge Inc.  Market Cap: $78.7B Dividend Yield: 7.11% If you prefer an energy stock that offers a rare combination of high yield and growth, then look no further than Enbridge Inc. (NYSE:ENB), a Canadian energy transportation company based in Alberta. Enbridge owns a network of transportation and storage assets that connect some of North America's richest oil and gas fields. As low-cost shale drilling continues to grow the continent's energy production volumes, Enbridge should be able to see healthy demand for its pipeline and transportation facilities. This midstream energy company sports a healthy dividend yield with a target to grow the dividend at 10% per annum while at the same time maintaining an impressive distributable cash flow ratio of 1.4x forward dividend.
 Enterprise Products Partners L.P. Market Cap: $51.4B Dividend Yield (Fwd): 7.65% Enterprise Products Partners L.P. (NYSE:EP) is the top transporter of natural gas liquids (NGLs) and also owns the most NGL fractionation capacity in the United States, as well as dock space for exports. Enterprise Products is the largest midstream MLP in the country. Enterprise has clearly read the signs of the times and has begun to work with partners to scale back its project backlog. In the past, EP was able to weather the normal industry headwinds thanks to robust cash coverage and manageable leverage. Unfortunately, Covid-19 has been anything but your average downturn, and EP has been forced to seriously cut back on Capex. After spending $17 billion in capital projects in 2015-19, including new oil pipelines, NGL and LPG pipeline-and-export facilities, and NGL fractionation plants, the giant MLP now plans to spend a combined $4 billion in 2021-22. These dramatic cuts are expected to pay off big time in higher earnings and distributions. Phillips 66 Partners  Market Cap: $8.4B Dividend Yield (Fwd): 9.56% Phillips 66 Partners (NYSE:PSX) is a midstream company founded in 2013 as a subsidiary of Phillips 66 (NYSE:PSX). Phillips Partners owns 75% of its MLP's limited shares, providing crucial support for revenues and financing. Indeed, PSXP has one of the strongest balance sheets of the refining-sponsored MLPs, with a huge dividend that appears well covered. The main risk when investing in PSXP hinges on whether the Dakota Access Pipeline (DAPL) will eventually be shut following a permitting dispute. But with states and municipalities starving for tax revenues and jobs amid Covid-19, this does not look like something that's likely to happen any time soon. In July 2020, a District Court judge issued a ruling for the pipeline to be shut down and emptied of oil pending a new environmental review. The temporary shutdown order was overturned by a U.S. appeals court on August 5, though the environmental review is expected to continue. Back in May, Reuters reported that the U.S. Army Corps of Engineers said it does not believe a judge should order the Dakota Access oil pipeline shut while environmental review continues. Master Limited Partnerships
 For decades, master limited partnerships, or MLPs, have been a source of reliable, high-yield income for energy investors. An MLP is required by law to derive at least 90% of its cash flow from commodities, natural resources, or real estate. They, in turn, distribute cash to shareholders instead of paying dividends like a standard company would. MLPs combine the liquidity of publicly traded companies and the tax benefits of private partnerships because profits are taxed only when investors receive distributions.  Related: Mexico's Drug Cartels Are Stealing Oil Again The biggest draw of MLPs is that they are considered pass-through entities under the U.S. federal tax code. Whereas most corporate earnings are taxed twice (first through earnings and again through dividends), pass-through status of MLPs allows them to avoid this double taxation because earnings are not taxed at the corporate level. Another key benefit: Midstream MLPs act as toll collectors for the energy companies that use their pipelines. As such, their cash flows are protected by long-term, take-or-pay agreements, meaning they are less susceptible to commodity price fluctuations. It's, therefore, hardly surprising that MLPs typically pay the highest distributions in the energy sector. Here are some top payers. MPLX LP Market Cap:$28.8B Dividend Yield (Fwd): 9.85% MPLX LP (NYSE:MPLX) is an Ohio-based crude oil and natural gas transportation and processing company.  MPLX has been making good progress reducing operating and capital expenses as well as securing and developing joint venture growth projects. In addition, parent company Marathon Petroleum Corp. (NYSE:MPC) recently completed the sale of its Speedway assets for $21 billion, with the proceeds to be used to pay down debt and shore up the company's balance sheet. Rattler Midstream LP Market Cap: $1.5B Dividend Yield: 8.57% Rattler Midstream LP (NASDAQ:RTLR) provides water-related services to oil and gas shale producer Diamondback Energy (NASDAQ:FANG) in the Permian Basin in West Texas.  Rattler's management has been aggressively cutting back on capital expenditure which has helped support sustained free cash flow generation. Further, Rattler Midstream is not present on all the company acreage of Diamondback Energy which allows it to grow revenue at a time when Diamondback Energy has forecast a period of no growth. Other top-paying MLPs are:",Positive
Refiners Face Huge Long Term Challenges.html,"The global refining industry has not recovered yet from the impact of the pandemic, but it is already facing longer-term challenges with the energy transition. Over the next decade and a half, global fuel demand will likely decline, leading to an overcapacity in the refining market, lower margins, and lower utilization. The outlook varies across regions. Generally speaking, however, some less efficient refineries will have to close because of downward pressure on profits amid lower demand and unnecessary high global capacity, McKinsey & Company said in its report ‘Global downstream outlook to 2035’ published this month.   The outlook examines global liquids demand in three different policy scenarios and the impact that demand would have on refiners globally and in various regions. The refining industry is likely to shrink in some regions, but it will still remain a large sector that would likely keep in the 2030s as much as 90 percent of its 2019 operating capacity, McKinsey & Company noted. Just as with the recovery from COVID-19, the long-term prospects of the downstream sector will vary across scenarios and regions. There will be winners and losers. Reference Case – 5 Million Bpd Refinery Closures, 35% Shrinking Value McKinsey’s reference case, Energy Transition, in which future policies will follow current patterns, finds that Europe and the U.S. may need to shut down permanently as much as 5 million barrels per day (bpd) of capacity by 2035. Roughly half of those closures have already been announced, the company said.
 In McKinsey’s Energy Transition scenario, global liquids demand peaks in 2029 at 104 million bpd, with road transport fuels peaking in 2023. Refining margins are set to recover once refinery rationalization occurs, but U.S. and European margins will be around $2 a barrel lower in 2031–2035 than in recent history. If energy and climate policies follow current patterns, the value of global refining is set to drop by 36 percent from 2015–19 levels by the 2030s, with the 2031–35 global average at $100 billion. During the 2030s, only Asia and the Middle East will see its refining industry grow in value, according to McKinsey. This assessment is generally in line with previous estimates from other energy experts and consultants who say that Asia and the Middle East, especially the newer integrated refining complexes, will beat older refineries in countries where fuel demand is expected to be less resilient in the energy transition. If the global refinery industry doesn’t see extensive further rationalization, the sector may never return to 80 percent capacity utilization, Wood MacKenzie said earlier this month. The current crisis is an existential threat to smaller and less efficient refineries in Europe and Asia that were struggling to turn profits even before the pandemic. Even oil majors acknowledge that some sites have become permanently uneconomical amid depressed refining margins, fierce regional competition, and expectations of declining road fuel demand in the long term. For example, ExxonMobil and BP announced in the span of just a few months closures of their respective refineries in Australia. They now plan to convert them into fuel import terminals.   According to McKinsey, while Europe and the U.S. could recover faster from the pandemic impact in the short term, Asia’s refiners will be more resilient in the long term. As a whole, the reference case found that the industry will remain a large one, but it will become less profitable. Delayed Transition To Grow Refinery Value To $181 Billion If economic recovery from COVID takes precedence over emissions reduction and the energy transition slows down, global liquids demand will continue to grow through 2035, with light product demand peaking in 2029, McKinsey says.
 Related: Could This Be The Most Promising Oil Play Of The Decade?  Utilization will remain strong, and Asia and the Middle East will even add 1.3 million bpd of capacity. Asia and the Middle East will also drive a 16 percent rise in value in the refining industry to a global average of $181 billion in 2031–2035.   Accelerated Transition To Lead To 16 Million Bpd Refinery Closures If the transition accelerates, it would bring about peak global liquids demand in 2024 at 101 million bpd, while light product demand will never recover to 2019 levels, McKinsey’s analysis shows. In this case, all markets, especially Europe and the United States, would require as much as 16 million bpd of unannounced closures by 2035. In this case, the value of the refining industry would plunge in the 2030s to 74 percent compared with 2015–2019 levels, at $40 billion global average in 2031–2035.   The actual scenario that will unfold could be close to the reference case or a combination of two or three of those examined by McKinsey. At any rate, some things are certain—refiners will take time to overcome the COVID-19 shock. At the same time, they will be bracing for the long-term impact of the energy transition. Refiners should be ready to adapt to lower long-term refining margins, industry rationalization with millions of bpd of capacity closures, and a long-term decline in profits.   ",Positive
Venezuela Plans To Revive Its Oil Industry Despite US Sanctions.html,"Venezuela is ignoring U.S. sanctions with its plan to boost production to 1.5 million bpd by the end of the year, around three times the current output. A document has been released showing that Venezuela has received delivery of condensate from the Rene supertanker in its Jose port. After national production broke down, Venezuela came to rely on condensate imports to thin its extra-heavy crude grades for processing. Due to U.S. sanctions on the country, introduced in 2019 in response to the dictatorship, Venezuela has not been able to produce and export its normal quantities of oil, also finding it difficult to access oil-related products such as condensate, vital for production.  New condensate imports reflect Venezuela’s eagerness to reinvigorate its oil industry. With nearly 300 billion barrels of proven oil reserves, Venezuela holds the most oil in the world, and pre-sanction production stood at around 2.4 million bpd, with room to grow. The country now needs to resume production if it hopes to stabilize the national economy and improve employment opportunities.  The country has already managed to get around many restrictions with the help of intermediaries, through its strong partnership with China. China Concord Petroleum Co., Limited, CCPC, has long been tied to Iranian oil, much to the disdain of the USA. However, it seems that it is now also getting involved with Venezuelan oil. 
 Despite threats from the U.S. that it will impose sanctions on any entity aiding the oil industries of sanctioned countries, such as Iran and Venezuela, CCPC started working with Venezuelan oil firms alongside independent Chinese refiners earlier in 2021, bringing 14 tankers within the last year to ship crude oil out of both Venezuela and Iran. China has long opposed U.S. sanctions on oil. ""China strongly opposes unilateral sanctions and urges the United States to remove the 'long-arm jurisdiction' on companies and individuals,"" stated a spokesman for China's foreign ministry. In June, exports of oil from Venezuela rose significantly ahead of a new import tax imposed by China, which raised import costs by around 40 percent, according to state-run oil firm PDVSA. Related: Could This Be The Most Promising Oil Play Of The Decade?  PDVSA and partners exported an average of 631,900 bpd of crude and refined products, up 6.5 percent in May and 66 percent from the same month last year. Most of these products were bound for Asia, with around 238,000 going to Malaysia for trans-shipping and mixing before reaching their final destination of China. Other export destinations included the UAE and Cuba. 
 The question is whether the U.S. will continue to overlook Venezuela’s work with intermediaries to bolster its oil industry. Particularly after U.S. officials threatened new oil trade links between Iran and China with more sanctions, just last week. The leniency seen from the U.S. could come to an end at any moment should it decide to impose stricter sanctions on Venezuela and its partners.  But exceptions to sanctions have already been made this year, with the U.S. agreeing to allow imports of liquefied petroleum gas (LPG) into Venezuela earlier this month. Such imports were not permitted under the Trump administration. President Biden acknowledged the need for LPG in the country, used as cooking fuel and currently in limited supply, driving people to burn wood. So, just how far can Venezuela push the U.S. before more sanctions are imposed? Over the next few months, it will become clearer as to whether the huge oil nation will reach its goal of tripling production as it strives to reinvigorate its mammoth oil industry. ",Positive
India May Join China In Bid To Lower Oil Prices.html,"The world’s third-largest crude oil importer, India, could join China in tapping into its strategic petroleum reserve in a bid to sell lower-priced crude to its refiners amid rallying international oil prices. India is reportedly considering selling half of its SPR to attract private participation in expanding its strategic storage capacity, government sources told Reuters last week. The sale of crude from reserves could also be a move from one of the importers most sensitive to price hikes to reduce the price of crude for its refiners, Reuters columnist Clyde Russell says. India’s SPR currently holds around 36.5 million barrels of crude oil. 
 India has been the most vocal critic of the OPEC+ production reduction pact this year, saying that it does not support “artificial cuts to keep the price going up.” On several occasions, India’s top officials have criticized OPEC+ for keeping the market tight and prices high and have expressed concern that the higher crude and fuel prices in India would slow down the economic and oil demand recovery. India’s move to commercialize half of its SPR is primarily aimed at raising financing for additional SPR storage, but it could also ensure cheaper oil from storage to Indian refiners, according to Reuters’ Russell. 
 Last week, reports emerged that the world’s top oil importer, China, is looking to tap its crude reserves. China has started to release more than 20 million barrels of crude oil from its strategic reserve in a move seen as seeking to curb the recent oil price rally, Energy Intelligence reported last week, quoting trading sources. The reported release from the strategic petroleum reserve is also aimed at putting inflation under control. Various market and trade sources told Energy Intelligence that China was about to release the equivalent of between 22 million barrels and over 29 million barrels, or between 3 million and 4 million tons.",Negative
Libya Looks To Boost Oil Production To 16 Million Bpd In 2022.html,"Libya could boost its oil production to 1.6 million barrels per day (bpd) by the middle of 2022 if the industry has the necessary funding, Libya’s Oil Minister Mohamed Oun told Italian news agency Agenzia Nova in an interview published this week. Currently, the North African producer exempted from the OPEC+ cuts pumps around 1.2 million bpd. According to secondary sources in OPEC’s latest Monthly Oil Market Report, Libya’s crude oil production averaged 1.163 million bpd in June, up from 1.157 million bpd in May. Since getting a unity government in March and a petroleum minister for the first time in five years, Libya has vowed it would raise its oil production, provided that the National Oil Corporation (NOC) receives the necessary funds.
 Libya plans to raise its oil production to 1.45 million bpd by the end of this year, Mustafa Sanalla, the chairman of NOC, told Bloomberg Television in an interview earlier this year.  Libya will be able to increase its current production by year’s end, provided that the state oil firm is not compromised again, according to Sanalla.
 The targets for the next few years are for Libya to increase production to 1.6 million bpd in two years and to 2.1 million bpd in four years, NOC’s chairman told Bloomberg in March. Libya surprised many oil market observers, and probably the OPEC+ group itself, after managing in just a few months to restore its oil production back to 1.25 million bpd from less than 100,000 in September 2020. The 1.25 million bpd level was the volume Libya was pumping before the eighth-month-long oil port blockade began in January 2020. Even after the lifting of the blockade in mid-September and the ceasefire from October, Libya’s oil production has not been entirely stable so far this year due to strikes from the Petroleum Facilities Guard over unpaid salaries and the lack of funds for restoration and maintenance of oil infrastructure. ",Negative
Iraq Wants Other US Oil Company To Replace Exxon.html,"Iraq wants another U.S. company to replace Exxon as a shareholder in the West Qurna 1 field, one of the country's largest after the supermajor leaves the country. ""Exxon Mobil is considering exiting Iraq for reasons that are to do with its internal management practices, decisions, and not because of the particular situation in Iraq,"" Prime Minister Mustafa al-Kadhimi told media after a meeting with President Joe Biden, as quoted by Reuters. Exxon, which holds a $32.7-percent interest in West Qurna 1, has been looking for a buyer with plans to exit the country entirely. The stake was valued last year at up to $500 million. At the time, reports said two Chinese companies were interested in acquiring it, state-owned CNPC and CNOOC.
 The plans for the stake sale appear to have been prompted by the impact the pandemic had on Exxon's finances as it sought to keep its dividend intact and reduce debt. Later reports said that Iraq could end up buying the West Qurna 1 stake itself. There could be other reasons for Exxon leaving Iraq, too. As Gerald Jansen wrote for Oilprice earlier this month, these have to do with the souring relationship between the company and Baghdad after Exxon ventured into Kurdistan oil, and with the continued political and financial instability in Iraq. This, according to Jansen, may have compromised the profitability of whatever plans Exxon may have had for its Iraqi business earlier. Just two years ago, Exxon was all set to take part in a $53-billion plan to boost Iraq's oil production, but it seems the pandemic and the Iraqi situation changed many things, including this ambitious plan.
 ""When Exxon Mobil departs, we will not accept its replacement to be other than another American company,"" Prime Minister Kadhimi told media this week, but an American company has yet to express interest in acquiring Exxon's holdings in Iraq.",Positive
Argentinas Oil Industry Is Finally Bouncing Back.html,"While the COVID-19 pandemic and 2020’s oil price collapse hit Argentina’s hydrocarbon sector hard, leading to some analysts to claim that it may never fully recover, there is evidence of a healthy rebound is underway. This is especially positive news for the national government in Buenos Aires which for nearly a decade has pinned its hopes on fueling an economic revival by exploiting the massive hydrocarbon wealth of the Vaca Muerta shale play. The massive shale play, located in the oil-rich Neuquén province, is thought to hold recoverable hydrocarbon resources consisting of 16 billion barrels of oil and 308 trillion cubic feet of natural gas. Those numbers make the Vaca Muerta the world’s second-largest shale gas deposit. The shale formation is often compared to the prolific U.S. Eagle Ford shale, although unlike the U.S: shale play the Vaca Muerta’s dry gas window has proven to be commercially viable. For those reasons it is easy to understand why Buenos Aires views the hydrocarbon-rich geological formation as a silver bullet for Argentina’s economic woes, especially after May 2020 when Buenos Aires defaulted on its sovereign debt for the second time in 20 years. The Vaca Muerta shale play along with Argentina’s overall oil industry was hit hard by the COVID-19 pandemic. Since hydrocarbon production (Spanish) bottomed during May 2020 it has been steadily climbing with oil output reaching a 12-month high of 504,119 barrels per day, a 13% increase over the same period a year ago. Natural gas production, however, declined by 2.6% to be 762,672 barrels of oil equivalent daily. As a result, Argentina’s overall hydrocarbon production of 1.27 million barrels of oil equivalent per day was only 3% higher year over year.  Source: Argentina Ministry of Economy and U.S. EIA. It is Argentina’s national oil company Yacimientos Petrolíferos Fiscales SA known as YPF, which has become the driving force behind developing the Vaca Muerta. For that reason, there were fears that a liquidity crisis caused by a large portion of YPF’s debt falling due in March 2021 would derail the state-controlled oil company’s planned investment to develop the shale play. YPF was eventually able to resolve that worrying development through a debt swap, which has had no lasting material impact on its planned development of the Vaca Muerta.
 Activity in the shale formation is ramping up at a solid clip. Even the April 2021 protests, where healthcare workers blockaded roads to the Vaca Muerta, have had little material impact. YPF earmarked an investment of $1.5 billion to develop its assets in Neuquén province where the Vaca Muerta shale play is located. Argentina’s national oil company intends to use that investment to boost provincial oil production by 56% and natural gas output by 70% during 2021. French energy supermajor Total Energies announced in April 2021 that it had approved the development of the Aguada Pichana Este license, located in the Vaca Muerta, and increased its stake in the operation from just over 27% to 41%. Anglo-Dutch supermajor Shell continues to make significant investments in the shale formation. The integrated energy supermajor is pressing ahead (Spanish) with an $80 million investment to build a 120,000 barrel per day 105-kilometer-long pipeline in the Vaca Muerta. Data from Baker Hughes showing that drilling activity is steadily increasing. By the end of June 2021, there were 45 active rigs, according to Baker Hughes, which was the same as a month prior but is notably significantly higher than the six active rigs at the end of the same period in 2020.  Source: Baker Hughes and U.S. EIA.
 An Argus Media article shows that during June 2021 985 fracking stages were completed in the Vaca Muerta, which while being 9% lower than May when a record 1,079 stages were completed, was still an impressive five times greater than a year earlier. It was YPF which is leading investment in the shale formation completing 532 fracking stages or 54% of those conducted during June. Those solid numbers for both the rig count and fracking operations indicate that the tempo of operations in the Vaca Muerta is growing at a solid clip boding well for further oil and natural gas production to keep expanding.  Related: Climate Friendly Banks: The Key To A Sustainable Energy Transformation? International energy companies are committed to making substantial investments in the Vaca Muerta despite Argentina’s high breakeven price per barrel. Analysts and industry insiders estimate that on average oilfields across Latin America’s fifth-largest oil producer have a breakeven price of $45 per barrel. New projects in the Vaca Muerta are projected to have a breakeven price of over $50 per barrel which during periods of sharply weaker oil prices has deterred investment. Those breakeven prices are significantly higher than other regional producers including Brazil, Guyana, Colombia, and Ecuador. YPF is, however, focused on reducing drilling costs with Pablo Iuliano, YPF's vice president of unconventional upstream telling S&P Global Platts at the end of 2020 that the company is driving efficiencies to push the breakeven price below $30 per barrel. There are signs that such a significant decrease can be achieved, particularly as further infrastructure is developed in the Vaca Muerta. Impressively, YPF reported for the last twelve months combined lifting and development costs of $14.60 per barrel which is 8% lower than for the full year 2020, boding well for lower breakeven prices. If breakeven prices fall below $30 per barrel YPF’s shale hydrocarbon production will be highly profitable and resilient to weaker oil prices. Such a breakeven price would be among the lowest in South America, enhancing the attractiveness of the Vaca Muerta as a destination for investment by foreign energy companies. The appeal of investing in Argentina’s energy patch is enhanced by the primary crude oil grade produced, Escalante, being particularly sweet with a sulfur content of 0.19% and an API gravity of 24.1 degrees. This is important because the demand for low sulfur content medium and light crude oil grades is steadily expanding because of every stricter sulfur emission regulation for fuels. There are even reports of Escalante cargoes being exported to the Middle East during 2020, while China’s thirst for sweet medium and light crude oil grades continues to grow. A key deterrent for many foreign energy companies when it comes to investing in Argentina is a long history of the government meddling with the petroleum industry. This has included punitive regulatory and tax environments, artificial pricing and even the nationalization of privately owned assets. For those reasons, the leftist government of President Alberto Fernandez must convince foreign oil companies that it can establish a stable, transparent regulatory framework with market-based pricing where profits can be easily repatriated without punitive taxes being applied. The latest developments indicate that Buenos Aires may be finally on the path to realizing the vast hydrocarbon potential held by the Vaca Muerta, which will give Argentina’s beaten-down economy a solid boost.",Positive
Iraq Oil Expert Baghdad Shouldnt Replace Oil With Renewables.html,"It is not in Iraq's best interest to adopt renewable energy at the expense of fossil fuels, energy and oil expert Hamza al-Jawaheri told local Shafaq News Agency in an interview on Monday. Iraq, OPEC's second-largest producer behind Saudi Arabia, has been suffering from power outages and disruptions due to a lack of investment in its transmission grids. Iraq also relies on electricity and natural gas imports from neighboring Iran for its power supply and has received waivers from the United States to continue importing electricity from Iran despite the American sanctions against Tehran. ""Iraq is an oil-producing country. It supplies 12% of the world's needs. It is not in its best interest to adopt renewable energy resources,"" al-Jawaheri told Shafaq News Agency.
 ""Iraq's economy is rentier that relies on oil to fund its treasury. Promoting alternative energy is not the optimal choice to address the power issue in Iraq,"" the energy analyst was quoted by the news agency as saying. According to al-Jawaheri, solar energy installations are useless in urban areas, as well as ""four times more expensive than fossil oil.""  Related: Oil Opens Lower As Delta Variant Fears Clash With Tight Supply Ahead of the visit of Prime Minister Mustafa Kadhimi of Iraq to the White House on Monday, a senior U.S. administration official said that ""we have a huge climate agenda with the Iraqis which I want to highlight. USAID funded technical assistance for renewable energy and climate adaptation with a figure — monetary figure I just can't announce yet.""
 Last month, Masdar, a subsidiary of Mubadala Investment Company of the United Arab Emirates (UAE), signed a strategic agreement with Iraq to develop solar photovoltaic (PV) projects in the country with a minimum total capacity of 2 gigawatts (GW). ""The Government intends to increase and enhance the national production of clean energy,"" Ihsan Abdul Jabbar Ismail, Minister of Oil for the Republic of Iraq, said in a statement in June. ""Iraq is targeting 20 to 25 percent of energy coming from renewable sources, rather than fossil fuels, equivalent to 10 to 12 GW. This agreement with Masdar, a global leader in renewable energy, is an important step in the development of the clean energy investment sector and the exploitation of solar energy in Iraq,"" the minister added.             ",Positive
Top Oilfield Service Providers See Multi Year Recovery Ahead.html,"The three largest oilfield services providers in the world expect the vaccine-driven recovery in global oil demand to continue through the coming quarters and lead to the next upcycle in demand for oil drilling and completions. Halliburton Company (NYSE: HAL), which generates the largest share of its revenues from North America, was the first to report last week its Q2 financials and give an estimate about the industry going forward. Improved North American and international markets for drilling, completion, and production helped Halliburton book a higher net profit for the second quarter than analysts had estimated. Halliburton also reported rising revenues both in North America and internationally and higher operating income quarter over quarter as the markets continued to improve, said the company. “The positive activity momentum we see in North America and international markets today, combined with our expectations for future customer demand, gives us conviction for an unfolding multi-year upcycle,” said Jeff Miller, Halliburton’s chairman, president, and CEO.
 Baker Hughes, whose Q2 loss was smaller than the losses booked for Q2 2020 and Q1 2021, reported stronger revenues and orders and continues to see improving demand. “As we look ahead to the second half of 2021, we see continued signs of global economic recovery that should drive further demand growth for oil and natural gas. Although we recognize the risks presented by the variant strains of the COVID-19 virus, we expect spending and activity levels to gain momentum through the year as the macro environment improves, likely setting up the industry for stronger growth in 2022,” Baker Hughes chairman and CEO Lorenzo Simonelli said.  Schlumberger turned to a net profit of $431 million for Q2, compared to a loss of $3.4 billion for the same period of 2020.
 “In North America, revenue grew 11% sequentially, representing the highest sequential quarterly growth rate for this area since the third quarter of 2017,” Schlumberger CEO Olivier Le Peuch said, commenting on the Q2 2021 performance. “With oil price at elevated levels, the supply response to this demand recovery is developing broadly as anticipated. Indeed, this combination has resulted in a call on short-cycle production as well as an uptick in long-cycle project, reflected in new FIDs and encouraging recovery in both offshore developments and near-field exploration activity through the second quarter,” Le Peuch said on the earnings call on Friday.",Positive
US Rig Count Climbs As Oil Prices Recoup Losses.html,"The number of oil and gas rigs in the United States is up 7 this week, according to Baker Hughes, which pegged the total rig count at 491, up 240 from the same time last year. The U.S. oil rig count rose by 7 this week to 387. The number of gas rigs stayed the same at 104. The number of miscellaneous rigs also stayed the same. The EIA’s estimate for oil production in the United States for the week ending July 16 stayed the same at an average of 11.4 million barrels per day. Production is still well below the 13.1 million bpd peak seen in February 2020.
 Canada’s overall rig count fell this week by 1. Oil and gas rigs in Canada now sit at 149 active rigs, up 107 on the year.  The rig count in the Permian basin increased by 4 this week. At 242 rigs, the Permian’s total rig count is now 116 rigs above what it was this time last year.  Check out all rig count data on our Rig Count page The Frac Spread Count provided by Primary Vision shows that fracking crews rose by 4 for the week ending July 16, up to 242. The frac spread count estimates the number of completion crews finishing off previously drilled wells. This frac count is up by more than 110 so far this year. At 1:06 p.m. EDT, WTI was trading at $71.97 barrel, while the Brent benchmark was trading at $73.99 per barrel—with both benchmarks essentially flat on the week despite volatile price moves.",Positive
